handle,total_n,artist,popularity,genre1,genre2,political_n,political_proportion,poliprop_bin
_christiannodal,126,Christian Nodal,2527,latin,,0,0,Unengaged
_elmayimbe_,27,Anthony Santos,33,latin,,0,0,Unengaged
respektor,3160,Regina Spektor,13,rock,,587,0.19,Actively Engaged
jackjohnson,925,Jack Johnson,20,rock,,65,0.07,Circumstantially Engaged
1future,3159,Future,7394,hiphop and r&b,,17,0,Unengaged
1gunnagunna,3020,Gunna,344,hiphop and r&b,,32,0,Unengaged
1omarion,1,Omarion,1635,hiphop and r&b,,0,0,Unengaged
2__milly,3148,2 Milly,1,hiphop and r&b,,38,0,Unengaged
adele,309,Adele,1625,pop,,1,0,Unengaged
21savage,2894,21 Savage,3752,hiphop and r&b,,29,0,Unengaged
2chainz,3226,2 Chainz,1631,hiphop and r&b,,20,0,Unengaged
6ix9ine,107,6ix9ine,2254,hiphop and r&b,,0,0,Unengaged
4planb,3138,Plan B,2146,latin,,139,0.01,Unengaged
6lack,3154,6LACK,161,hiphop and r&b,,40,0,Unengaged
artisthbtl,797,A Boogie Wit da Hoodie,1097,hiphop and r&b,,2,0,Unengaged
asapferg,3090,A$AP Ferg,926,hiphop and r&b,,36,0,Unengaged
jessiejdecker,3218,Jessie James Decker,13,country,,0,0,Unengaged
iamhannahkirby,3127,Hannah Kirby,5,rock,,200,0.07,Circumstantially Engaged
jm_finley,2,J. Michael Finley,13,christian,,0,0,Unengaged
abrahammateoesp,3189,Abraham Mateo,473,latin,,38,0,Unengaged
laithalsaadi,1267,Laith Al-Saadi,259,rock,,76,0.06,Circumstantially Engaged
masonramsey,640,Mason Ramsey,178,country,,1,0,Unengaged
billycurrington,286,Billy Currington,2205,country,,2,0,Unengaged
alessiacara,3232,Alessia Cara,4071,pop,,3,0,Unengaged
danauerbach,648,Dan Auerbach,163,rock,,37,0.06,Circumstantially Engaged
upchurchrhec,3246,Ryan Upchurch,7,country,,2,0,Unengaged
officialwzevon,67,Warren Zevon,39,rock,,4,0.06,Circumstantially Engaged
andygrammer,3220,Andy Grammer,563,pop,,38,0,Unengaged
adriel_favela,803,Adriel Favela,977,latin,,17,0,Unengaged
annemarie,3237,Anne-Marie,1077,pop,,23,0,Unengaged
alejandrosanz,3213,Alejandro Sanz,861,latin,,24,0,Unengaged
arianagrande,3235,Ariana Grande,3761,pop,,0,0,Unengaged
arlissaxx,3191,Arlissa,45,pop,,9,0,Unengaged
billyboydactor,2242,Billy Boyd,61,rock,,109,0.05,Circumstantially Engaged
alexoficial,3227,Alejandro Fernandez,13,latin,,1,0,Unengaged
alexsensation,3248,Alex Sensation,1068,latin,,1,0,Unengaged
alfredoolivas_,786,Alfredo Olivas,1083,latin,,1,0,Unengaged
twofeetmusic,191,Two Feet,857,rock,,10,0.05,Circumstantially Engaged
asvpxrocky,144,A$AP Rocky,415,hiphop and r&b,,0,0,Unengaged
st_vincent,3107,St. Vincent,37,rock,,104,0.02,Circumstantially Engaged
jonathanhelser,1317,Melissa Helser,9,christian,,0,0,Unengaged
amarante76,280,Rodrigo Amarante,43,latin,,1,0,Unengaged
markschultzy,85,Mark Schultz,67,christian,,0,0,Unengaged
alexdakid,3133,Alex Da Kid,444,rock,,103,0.05,Circumstantially Engaged
daltonrapattoni,3188,Dalton Rapattoni,5,rock,,100,0.02,Circumstantially Engaged
audien,3211,Audien,203,hiphop and r&b,,41,0,Unengaged
billygilman,3196,Billy Gilman,32,rock,,97,0.02,Circumstantially Engaged
stevenfurtick,3240,Steven Furtick,47,christian,,0,0,Unengaged
maggierogers,3218,Maggie Rogers,169,rock,,97,0.02,Circumstantially Engaged
bazzi,3212,Bazzi,1029,pop,,6,0,Unengaged
aaronshust,55,Aaron Shust,947,christian,,1,0,Unengaged
anitta,3224,Anitta,1170,latin,,65,0.01,Unengaged
beyonce,11,Beyonce,2957,pop,,0,0,Unengaged
anuel_2blea,3092,Anuel AA,2388,latin,,15,0,Unengaged
arcangelprrra,3221,Arcangel,2227,latin,,0,0,Unengaged
bloodpop,1888,BloodPop,242,pop,,22,0,Unengaged
arielylosplebes,1557,Ariel Camacho,3950,latin,,0,0,Unengaged
brunomars,3189,Bruno Mars,5690,pop,,22,0,Unengaged
aronwright,847,Aron Wright,25,christian,,1,0,Unengaged
banditgvngmvrco,3012,Bandit Gang Marco,300,hiphop and r&b,,21,0,Unengaged
barnscourtney,3217,Barns Courtney,30,hiphop and r&b,,28,0,Unengaged
joshturnermusic,1307,Josh Turner,1206,country,,3,0,Unengaged
bretteldredge,3234,Brett Eldredge,4819,country,,6,0,Unengaged
asolermusic,1349,Alvaro Soler,470,latin,,3,0,Unengaged
bas,3188,Bas,3,hiphop and r&b,,34,0,Unengaged
bhadbhabie,3108,Bhad Bhabie,108,hiphop and r&b,,38,0,Unengaged
bigbabydram,3157,D.R.A.M.,1394,hiphop and r&b,,23,0,Unengaged
grandson,3192,grandson,451,rock,,92,0.02,Circumstantially Engaged
chrisaugust,3204,Chris August,503,christian,,1,0,Unengaged
canaansmith,3228,Canaan Smith,1216,country,,6,0,Unengaged
ellieholcomb,3223,Ellie Holcomb,296,christian,,2,0,Unengaged
axeloficial,3195,Axel,4,latin,,17,0,Unengaged
axwell,31,Axwell,223,latin,,0,0,Unengaged
sawyerfrdrx,3239,Sawyer Fredericks,461,rock,,88,0.02,Circumstantially Engaged
carltonanderson,751,Carlton Anderson,3,country,,6,0,Unengaged
itsbrittnicole,3239,Britt Nicole,1265,christian,,2,0,Unengaged
balvinbr,3160,J Balvin,19644,latin,pop,13,0,Unengaged
blacyoungstafb,3146,Blac Youngsta,68,hiphop and r&b,,25,0,Unengaged
chris_daughtry,3192,Chris Daughtry,13,rock,,86,0.02,Circumstantially Engaged
miazanotti,3115,Mia Z,26,rock,,81,0.02,Circumstantially Engaged
blocboy_jb,3028,BlocBoy JB,887,hiphop and r&b,,24,0,Unengaged
garthbrooks,3213,Garth Brooks,1279,country,,6,0,Unengaged
bobatl,3215,B.o.B,265,hiphop and r&b,,31,0,Unengaged
bryantmyers_,2754,Bryant Myers,49,pop,,18,0,Unengaged
brycevine,3189,Bryce Vine,466,pop,,24,0,Unengaged
bigboi,3209,Big Boi,296,rock,hiphop and r&b,78,0.02,Circumstantially Engaged
toriharpermusic,192,Tori Harper,175,christian,,2,0.01,Circumstantially Engaged
andrewmcmahon,3212,Andrew McMahon In The Wilderness,1508,rock,,73,0.02,Circumstantially Engaged
calumscott,3222,Calum Scott,138,pop,,5,0,Unengaged
bobbyshmurdags9,1915,Bobby Shmurda,357,hiphop and r&b,,76,0,Unengaged
brysontiller,500,Bryson Tiller,2697,hiphop and r&b,,5,0,Unengaged
rhiannongiddens,2131,Rhiannon Giddens,20,rock,,66,0.02,Circumstantially Engaged
calvinharris,1018,Calvin Harris,5540,pop,,8,0,Unengaged
yusufcatstevens,1907,Cat Stevens,27,rock,,65,0.02,Circumstantially Engaged
jhalversonmusic,655,Josh Halverson,10,country,,7,0,Unengaged
grimezsz,1921,Grimes,156,rock,,51,0.02,Circumstantially Engaged
officialsting,1879,Sting,20,rock,,47,0.02,Circumstantially Engaged
camerondallas,238,Cameron Dallas,5,hiphop and r&b,,3,0,Unengaged
ericchurch,824,Eric Church,5472,country,,9,0,Unengaged
zwilliamslive,1207,Zach Williams,6764,rock,,38,0.02,Circumstantially Engaged
colonelloud,3182,Colonel Loud,150,hiphop and r&b,,23,0,Unengaged
carlyraejepsen,3162,Carly Rae Jepsen,266,pop,,41,0,Unengaged
common,3204,Common,105,hiphop and r&b,,43,0,Unengaged
daedae,629,Dae Dae,418,hiphop and r&b,,1,0,Unengaged
hleithauser,1432,Hamilton Leithauser,10,rock,,37,0.02,Circumstantially Engaged
chloekohanski,1682,Chloe Kohanski,78,rock,,36,0.02,Circumstantially Engaged
jordancwdavis,1436,Jordan Davis,1187,country,,9,0,Unengaged
manafest,3223,Manafest,7,christian,,3,0,Unengaged
jonnydiaz,3209,Jonny Diaz,1732,christian,,4,0,Unengaged
ironandwine,1426,Iron & Wine,20,rock,,27,0.02,Circumstantially Engaged
brendanjfletch,808,Brendan Fletcher,29,rock,,17,0.02,Circumstantially Engaged
taylormadu,318,Taylor Madu,6,christian,,4,0.01,Circumstantially Engaged
dustinlynch,3204,Dustin Lynch,4333,country,,11,0,Unengaged
jordan_rager,3217,Jordan Rager,27,country,,11,0,Unengaged
kimnicky,3206,Kimberly Nichole,68,rock,,296,0.01,Circumstantially Engaged
morgan_evans,3233,Morgan Evans,763,country,,11,0,Unengaged
charleskelleyla,1082,Charles Kelley,78,country,,12,0,Unengaged
dollyparton,1916,Dolly Parton,14,country,,12,0,Unengaged
charli_xcx,3193,Charli XCX,117,pop,,13,0,Unengaged
hozier,12898,Hozier,3730,rock,,224,0.01,Circumstantially Engaged
amygrant,3227,Amy Grant,103,christian,,5,0,Unengaged
charlieputh,670,Charlie Puth,3618,pop,,6,0,Unengaged
chrisbrown,3183,Chris Brown,4582,pop,,46,0,Unengaged
cleanbandit,3214,Clean Bandit,1196,pop,,47,0,Unengaged
damienprincejr,3071,Damien,29,hiphop and r&b,,15,0,Unengaged
brytiago,3142,Brytiago,931,latin,,15,0,Unengaged
conradofficial,3228,Conrad Sewell,229,pop,,44,0,Unengaged
dillonfrancis,2129,Dillon Francis,67,pop,,17,0,Unengaged
georgestrait,530,George Strait,177,country,,12,0,Unengaged
danielcaesar,2530,Daniel Caesar,213,hiphop and r&b,,28,0,Unengaged
diplo,3215,Diplo,795,pop,,115,0,Unengaged
hunterhayes,2837,Hunter Hayes,537,country,,13,0,Unengaged
carmensarahimx,3201,Carmen Sarahi,270,latin,,14,0,Unengaged
tuckerbeathard,1612,Tucker Beathard,725,country,,14,0,Unengaged
cassadeepope,3199,Cassadee Pope,2,country,,15,0,Unengaged
direalshaggy,3183,Shaggy,419,pop,,115,0,Unengaged
casper_magico,1041,Casper Magico,582,latin,,5,0,Unengaged
chrisstapleton,3238,Chris Stapleton,4985,country,,15,0,Unengaged
cazzuuuu,2988,Cazzu,10,latin,,3,0,Unengaged
officialjackson,1788,Alan Jackson,18,country,,16,0,Unengaged
sarahreeves,2979,Sarah Reeves,84,christian,,6,0,Unengaged
cfidelrueda,3141,Fidel Rueda,204,latin,,2,0,Unengaged
christomlin,3205,Chris Tomlin,7183,christian,,7,0,Unengaged
karijobe,3236,Kari Jobe,1499,christian,,7,0,Unengaged
chayannemusic,3203,Chayanne,591,latin,,38,0,Unengaged
dejloaf,3133,DeJ Loaf,1149,hiphop and r&b,,36,0,Unengaged
russelled,3176,Russell Dickerson,1690,country,,16,0,Unengaged
dukedumont,3187,Duke Dumont,29,pop,,10,0,Unengaged
edsheeran,1864,Ed Sheeran,2937,pop,,7,0,Unengaged
jason_aldean,3223,Jason Aldean,8038,country,,17,0,Unengaged
codyjohnson,3216,Cody Johnson,119,country,,18,0,Unengaged
chiquis626,3244,Chiquis Rivera,8,latin,,6,0,Unengaged
derezdeshon,757,Derez De'Shon,146,hiphop and r&b,,6,0,Unengaged
chrisjeday,2999,Chris Jeday,1591,latin,,25,0,Unengaged
paulmccartney,3190,Paul McCartney,1188,rock,pop,78,0.01,Circumstantially Engaged
indiacarney,3215,India Carney,6,rock,,75,0.01,Circumstantially Engaged
matthew_west,3201,Matthew West,5335,christian,,8,0,Unengaged
djcarnage,3059,Carnage,5,hiphop and r&b,,38,0,Unengaged
ellahenderson,3133,Ella Henderson,351,pop,,42,0,Unengaged
shinedown,3211,Shinedown,2936,rock,,70,0.01,Circumstantially Engaged
christiandmusic,3164,Christian Daniel,1163,latin,,26,0,Unengaged
austinlwebb,3214,Austin Webb,22,country,,19,0,Unengaged
chrisyoungmusic,3229,Chris Young,4531,latin,,7,0,Unengaged
coryasbury,3232,Cory Asbury,1527,christian,,9,0,Unengaged
iamjoshuamicah,3159,Joshua Micah,79,christian,,9,0,Unengaged
chuchoflash,653,Chucho Flash,61,latin,,0,0,Unengaged
clubmenolugo,25,Meno Lugo,43,latin,,0,0,Unengaged
owendanoff,3177,Owen Danoff,18,rock,,66,0.01,Circumstantially Engaged
djkhaled,3200,DJ Khaled,7154,hiphop and r&b,,42,0,Unengaged
craigcampbelltv,3171,Craig Campbell,258,country,,19,0,Unengaged
sethennis,3198,Seth Ennis,26,country,,19,0,Unengaged
ellamai,3165,Ella Mai,1638,pop,,43,0,Unengaged
coscuelprincipe,3215,Cosculluela,2143,latin,,1,0,Unengaged
moriahsmallbone,234,Moriah Peters,358,christian,,9,0.01,Circumstantially Engaged
christynockels,3214,Christy Nockels,11,christian,,11,0,Unengaged
joshgallmusic,1730,Josh Gallagher,65,country,,21,0,Unengaged
iamlp,3214,LP,51,rock,,63,0.01,Circumstantially Engaged
kennychesney,1446,Kenny Chesney,6378,country,,21,0,Unengaged
dmx,252,DMX,54,hiphop and r&b,,3,0,Unengaged
davidarchie,3209,David Archuleta,79,christian,,11,0,Unengaged
eazye_,953,Eazy-E,80,hiphop and r&b,,3,0,Unengaged
emilywarrennnn,3218,Emily Warren,406,pop,,32,0,Unengaged
jontlangston,3150,Jon Langston,29,country,,22,0,Unengaged
crecergermanof,16,Crecer German,570,latin,,0,0,Unengaged
jjweeks,271,JJ Weeks Band,116,christian,,11,0.02,Circumstantially Engaged
dannocean,3152,Danny Ocean,657,latin,,27,0,Unengaged
travis_denning,3220,Travis Denning,111,country,,22,0,Unengaged
darell_rg4l,3031,Darell,1218,latin,,11,0,Unengaged
adamcraigmusic,3187,Adam Craig,41,country,,23,0,Unengaged
delaghettoreal,3113,De La Ghetto,435,latin,,37,0,Unengaged
eminem,869,Eminem,60,hiphop and r&b,,13,0,Unengaged
ellieklawrence,3178,Ellie Lawrence,10,rock,,61,0.01,Circumstantially Engaged
escomoecity,3109,DJ ESCO,517,hiphop and r&b,,19,0,Unengaged
rufuswainwright,2831,Rufus Wainwright,35,rock,,61,0.01,Circumstantially Engaged
mallaryhope,3219,Mallary Hope,136,christian,,11,0,Unengaged
famousdex,2867,Famous Dex,689,hiphop and r&b,,31,0,Unengaged
deorro,3181,Deorro,687,latin,,23,0,Unengaged
paulbaloche,205,Paul Baloche,6,christian,,13,0.06,Circumstantially Engaged
dianareyesmusic,3212,Diana Reyes,42,latin,,8,0,Unengaged
castingcrowns,3068,Casting Crowns,6233,christian,,14,0,Unengaged
alisanporter,3160,Alisan Porter,31,rock,,60,0.01,Circumstantially Engaged
fancyhagood,3210,Who Is Fancy,142,pop,,33,0,Unengaged
chasebryant,3183,Chase Bryant,1065,country,,23,0,Unengaged
itsjimicravity,3218,Jimi Cravity,75,christian,,14,0,Unengaged
mrswoope,3232,Swoope,13,christian,,14,0,Unengaged
flumemusic,2088,Flume,892,pop,,14,0,Unengaged
jamesblake,1582,James Blake,489,country,,23,0,Unengaged
mikeshinoda,3188,Mike Shinoda,68,rock,,59,0.01,Circumstantially Engaged
kalebleemusic,442,Kaleb Lee,36,christian,country,15,0,Unengaged
chriscornell,3219,Chris Cornell,410,rock,,52,0.01,Circumstantially Engaged
frank_oceann_,533,Frank Ocean,123,hiphop and r&b,,0,0,Unengaged
dinahjane97,3165,Dinah Jane,29,latin,,20,0,Unengaged
matsor,3230,Rostam,10,rock,,52,0.01,Circumstantially Engaged
gnash,3221,gnash,590,pop,,32,0,Unengaged
djluian,5,DJ Luian,2284,latin,,0,0,Unengaged
ggyoungboy,752,YoungBoy Never Broke Again,968,hiphop and r&b,,4,0,Unengaged
mackenziebourg,2516,MacKenzie Bourg,70,rock,,49,0.01,Circumstantially Engaged
donomar,3223,Don Omar,2464,latin,,21,0,Unengaged
goswaelee,3118,Swae Lee,269,hiphop and r&b,,120,0,Unengaged
camcountry,3200,Cam,1425,country,,24,0,Unengaged
haileesteinfeld,3201,Hailee Steinfeld,2007,pop,,43,0,Unengaged
dukissj,3165,Duki,10,latin,,9,0,Unengaged
harry_styles,3213,Harry Styles,560,pop,,24,0,Unengaged
hayleykiyoko,3158,Hayley Kiyoko,82,pop,,290,0,Unengaged
gucci1017,3151,Gucci Mane,2235,hiphop and r&b,,42,0,Unengaged
hopsin,3191,Hopsin,8,hiphop and r&b,,26,0,Unengaged
dzekomusic,3219,Dzeko,436,latin,,47,0,Unengaged
iamdlow,3241,DLOW,514,hiphop and r&b,,32,0,Unengaged
edwinlunat,3220,Edwin Luna,255,latin,,6,0,Unengaged
iamkevingates,3192,Kevin Gates,2072,hiphop and r&b,,9,0,Unengaged
hoodieallen,3216,Hoodie Allen,213,pop,,0,0,Unengaged
itsob,2944,OB OBrien,2,hiphop and r&b,,23,0,Unengaged
davidnail,3244,David Nail,871,country,,24,0,Unengaged
el_komander1,3195,El Komander,1356,latin,,16,0,Unengaged
iambeckyg,3174,Becky G,3141,pop,,280,0,Unengaged
brantleygilbert,1761,Brantley Gilbert,2653,country,,27,0,Unengaged
jacquees,3146,Jacquees,239,hiphop and r&b,,35,0,Unengaged
janetjackson,1511,Janet Jackson,186,hiphop and r&b,,18,0,Unengaged
iamblackbear,2153,blackbear,951,pop,hiphop and r&b,3,0,Unengaged
iggyazalea,3155,Iggy Azalea,1319,pop,,18,0,Unengaged
elchombo,27,El Chombo,768,latin,,0,0,Unengaged
iamchrislane,3195,Chris Lane,2965,country,,27,0,Unengaged
jimmieallen,3240,Jimmie Allen,490,country,,27,0,Unengaged
eldominionigga,3060,El Dominio,19,latin,,19,0,Unengaged
jayrock,3157,Jay Rock,489,hiphop and r&b,,139,0,Unengaged
grangersmith,3199,Granger Smith,2095,country,,28,0,Unengaged
jcolenc,2738,J. Cole,3410,hiphop and r&b,,3,0,Unengaged
itsruthb,3029,Ruth B,538,pop,,45,0,Unengaged
jalvarezflow,3140,J Alvarez,464,pop,,31,0,Unengaged
elfantasmamusic,2,El Fantasma,1079,latin,,0,0,Unengaged
eltorito48,3201,Hector Acosta,79,latin,,128,0.01,Unengaged
enigmanorteno,3203,Enigma Norteno,265,latin,,11,0,Unengaged
enriqueiglesias,3241,Enrique Iglesias,5459,latin,pop,26,0,Unengaged
esbadbunny,3101,Bad Bunny,8851,latin,pop,2,0,Unengaged
farrukoofficial,3234,Farruko,5914,latin,,13,0,Unengaged
janellemonae,3166,Janelle Monae,332,pop,hiphop and r&b,570,0,Unengaged
jessiej,3229,Jessie J,198,pop,,30,0,Unengaged
declanmckenna,2042,Declan McKenna,35,rock,,48,0.01,Circumstantially Engaged
jonasblue,3152,Jonas Blue,293,pop,,44,0,Unengaged
jonbellion,3102,Jon Bellion,691,pop,,28,0,Unengaged
brandonheath,3206,Brandon Heath,1212,christian,,17,0,Unengaged
vancejoy,2709,Vance Joy,3652,rock,,44,0.01,Circumstantially Engaged
skilletmusic,2573,Skillet,5232,rock,,40,0.01,Circumstantially Engaged
feid,3210,Feid,4,latin,,26,0,Unengaged
fiotimc,1,MC Fioti,354,latin,,0,0,Unengaged
jjheller,3221,JJ Heller,28,christian,,17,0,Unengaged
laurenduski,3207,Lauren Duski,173,country,,29,0,Unengaged
juiceworlddd,3105,Juice WRLD,1969,pop,,39,0,Unengaged
jheneaiko,168,Jhene Aiko,126,hiphop and r&b,,2,0,Unengaged
fitoblanko,2830,Fito Blanko,19,latin,,44,0.01,Unengaged
fonseca,3229,Fonseca,3,latin,,22,0,Unengaged
loganmize,3178,Logan Mize,12,country,,29,0,Unengaged
justincolemoore,3189,Justin Moore,2049,country,,30,0,Unengaged
frankreyesof,727,Frank Reyes,357,latin,,2,0,Unengaged
joeybadass,52,Joey Bada$$,5,hiphop and r&b,,2,0,Unengaged
m10penny,3156,Mitchell Tenpenny,434,country,,31,0,Unengaged
joynerlucas,103,Joyner Lucas,5,hiphop and r&b,,1,0,Unengaged
katyperry,3186,Katy Perry,740,pop,,46,0,Unengaged
fuerzadetj,1845,Fuerza de Tijuana,3,latin,,1,0,Unengaged
kcamp,3094,K Camp,713,hiphop and r&b,,21,0,Unengaged
gerardoortiznet,3196,Gerardo Ortiz,4432,latin,,4,0,Unengaged
kelly_clarkson,3227,Kelly Clarkson,653,pop,,46,0,Unengaged
kentjoneswtb,3087,Kent Jones,1447,pop,,46,0,Unengaged
gochomusic,3063,"Gocho ""El Lapiz de Platino""",354,latin,,46,0,Unengaged
iamchino__,3194,IAmChino,809,latin,,68,0,Unengaged
kevinhart4real,3160,Kevin Hart,1,hiphop and r&b,,47,0,Unengaged
kesharose,3186,Kesha,591,pop,,16,0,Unengaged
ingrosso,11,Ingrosso,223,latin,,0,0,Unengaged
kirkfranklin,3201,Kirk Franklin,21,hiphop and r&b,,7,0,Unengaged
mopitney,3172,Mo Pitney,48,country,,32,0,Unengaged
itsbennyblanco,3203,Benny Blanco,304,latin,,54,0,Unengaged
kmichelle,3174,K. Michelle,66,hiphop and r&b,,32,0,Unengaged
j_medina37,3219,Jorge Medina,8,latin,,14,0,Unengaged
jacobforever1,17,Jacob Forever,981,latin,,0,0,Unengaged
lindsayell,3202,Lindsay Ell,422,country,,35,0,Unengaged
ashleymcbryde,3220,Ashley McBryde,203,country,,37,0,Unengaged
brittonbuchanan,2290,Britton Buchanan,73,rock,,38,0.01,Circumstantially Engaged
marcmartel,1584,Marc Martel,60,christian,,17,0.01,Circumstantially Engaged
deanlewismusic,1432,Dean Lewis,43,rock,,32,0.01,Circumstantially Engaged
morgancwallen,3187,Morgan Wallen,1450,country,,37,0,Unengaged
javierrosasap,2470,Javier Rosas,106,latin,,14,0,Unengaged
theandreasmoss,1481,Jonathan Thulin,208,christian,,18,0.01,Circumstantially Engaged
lifeofthepardi,3103,Pardison Fontaine,8,hiphop and r&b,,113,0,Unengaged
kiiara,3213,Kiiara,697,pop,,19,0,Unengaged
jencarlosmusic,12750,Jencarlos,443,latin,rock,32,0,Unengaged
lilbaby4pf,400,Lil Baby,1477,hiphop and r&b,,2,0,Unengaged
lildurk,3206,Lil Durk,82,hiphop and r&b,,10,0,Unengaged
_laurawelsh,1449,Laura Welsh,19,rock,,30,0.01,Circumstantially Engaged
levihummon,3228,Levi Hummon,4,country,,38,0,Unengaged
marilynmanson,1091,Marilyn Manson,239,rock,,27,0.01,Circumstantially Engaged
lilduval,3169,Lil' Duval,165,hiphop and r&b,,33,0,Unengaged
lauvsongs,3234,Lauv,951,pop,,7,0,Unengaged
lifeofdesiigner,3137,Desiigner,2567,pop,hiphop and r&b,33,0,Unengaged
landrycantrell,2896,Landry Cantrell,9,christian,,19,0,Unengaged
milkychance,1345,Milky Chance,1264,rock,,26,0.01,Circumstantially Engaged
livviamusic,3185,Livvia,52,pop,,15,0,Unengaged
cmcclarney,2985,Chris McClarney,8,christian,,21,0,Unengaged
lukasgraham,3194,Lukas Graham,1132,pop,,209,0,Unengaged
lunchmoneylewis,3202,LunchMoney Lewis,244,pop,,13,0,Unengaged
miikesnow,1121,Miike Snow,614,rock,,19,0.01,Circumstantially Engaged
madisonbeer,3186,Madison Beer,448,pop,,29,0,Unengaged
lilskies,2209,Lil Skies,545,hiphop and r&b,,23,0,Unengaged
sampalladio,3239,Sam Palladio,14,country,,40,0,Unengaged
addisonagen,564,Addison Agen,5,rock,pop,13,0.01,Circumstantially Engaged
liltunechi,1981,Lil Wayne,4297,hiphop and r&b,,5,0,Unengaged
chasericemusic,3177,Chase Rice,1322,country,,41,0,Unengaged
jeffbuckley,431,Jeff Buckley,69,rock,,7,0.01,Circumstantially Engaged
matkearney,3215,Mat Kearney,1358,christian,,21,0,Unengaged
madonna,3203,Madonna,6,pop,,1,0,Unengaged
marcebassy,3179,Marc E. Bassy,256,pop,,30,0,Unengaged
martingarrix,3208,Martin Garrix,993,pop,,25,0,Unengaged
jencarlosmusic,12750,Jencarlos Canela,156,latin,,32,0,Unengaged
marenmorris,3231,Maren Morris,4371,country,,41,0,Unengaged
liluzivert,2583,Lil Uzi Vert,3731,hiphop and r&b,,12,0,Unengaged
brandonflowers,109,Brandon Flowers,36,rock,,2,0.01,Circumstantially Engaged
michaelwsmith,3247,Michael W. Smith,729,christian,,21,0,Unengaged
morganhnichols,3189,Morgan Harper Nichols,104,christian,,21,0,Unengaged
lilyachty,3205,Lil Yachty,734,hiphop and r&b,,23,0,Unengaged
meghanlinsey,3203,Meghan Linsey,181,rock,,212,0,Circumstantially Engaged
mirandalambert,3243,Miranda Lambert,2760,country,,41,0,Unengaged
meghan_trainor,3167,Meghan Trainor,2626,pop,,126,0,Unengaged
lloyd_yg,1600,Lloyd,2,hiphop and r&b,,2,0,Unengaged
theryanadams,3226,Ryan Adams,195,rock,,135,0,Unengaged
jesusojedaysus,3231,Jesus Ojeda,144,latin,,0,0,Unengaged
eltonofficial,3173,Elton John,67,rock,,126,0,Unengaged
nathanpacheco,1302,Nathan Pacheco,56,christian,,31,0.02,Circumstantially Engaged
jnoeltorres,3202,Noel Torres,2,latin,,5,0,Unengaged
trishayearwood,3228,Trisha Yearwood,3,christian,,21,0,Unengaged
zaytovenbeatz,3135,Zaytoven,554,christian,,21,0,Unengaged
logic301,3219,Logic,3144,hiphop and r&b,,13,0,Unengaged
lindseystirling,3199,Lindsey Stirling,388,christian,,22,0,Unengaged
melanielbbh,2,Melanie Martinez,47,pop,,0,0,Unengaged
joansebastian,2111,Joan Sebastian,603,latin,,5,0,Unengaged
jamielawsonuk,3236,Jamie Lawson,128,rock,,123,0,Unengaged
joeymontanat,3158,Joey Montana,460,latin,,26,0,Unengaged
ludacris,3232,Ludacris,160,hiphop and r&b,,1,0,Unengaged
walkerhayes,3183,Walker Hayes,1015,country,,41,0,Unengaged
mikeposner,3185,Mike Posner,792,pop,,37,0,Unengaged
mileycyrus,3239,Miley Cyrus,351,pop,,141,0,Unengaged
ragnbonemanuk,3187,Rag'n'Bone Man,1527,rock,,119,0,Unengaged
lukecombs,3155,Luke Combs,5662,country,,42,0,Unengaged
delongmusic,583,Robert DeLong,71,rock,,56,0,Unengaged
mnek,2018,MNEK,547,pop,,28,0,Unengaged
machinegunkelly,3201,Machine Gun Kelly,1897,hiphop and r&b,pop,26,0,Unengaged
bairdpryor,1166,Pryor Baird,4,country,,45,0,Unengaged
steffgretz,3232,Steffany Gretzinger,118,christian,,22,0,Unengaged
dbradbery,3168,Danielle Bradbery,77,country,,45,0,Unengaged
nathansykes,3216,Nathan Sykes,267,pop,,20,0,Unengaged
stevencurtis,2161,Steven Curtis Chapman,1163,christian,,22,0.01,Circumstantially Engaged
johnnyskymusic,3169,Johnny Sky,43,latin,,34,0,Unengaged
macmiller,136,Mac Miller,132,hiphop and r&b,,1,0,Unengaged
mcityjr,3131,M-City J.R.,14,hiphop and r&b,,28,0,Unengaged
meekmill,8332,Meek Mill,2405,hiphop and r&b,,350,0,Unengaged
adamlevine,599,Adam Levine,64,rock,,46,0,Circumstantially Engaged
therealblanca,3206,Blanca,1661,christian,,22,0.01,Circumstantially Engaged
stlucia,3225,St. Lucia,55,rock,,45,0,Unengaged
jonatansanchez0,3210,Jonatan Sanchez,76,latin,,4,0,Unengaged
jorge_valenz,2677,Jorge Valenzuela,49,latin,,4,0,Unengaged
reba,3235,Reba McEntire,555,christian,country,23,0,Unengaged
nfrealmusic,3180,NF,7599,pop,,19,0,Unengaged
nickyjampr,3144,Nicky Jam,12582,pop,,11,0,Unengaged
noahcyrus,3179,Noah Cyrus,580,pop,,125,0,Unengaged
jonpardi,3216,Jon Pardi,4167,country,,45,0,Unengaged
metroboomin,3147,Metro Boomin,2168,hiphop and r&b,,41,0,Unengaged
joryreal,3230,Jory Boy,511,latin,,4,0,Unengaged
jossfavela,3195,Joss Favela,258,latin,,35,0,Unengaged
marysarahmusic,3215,Mary Sarah,53,country,,45,0,Unengaged
miafieldes,3217,Mia Fieldes,8,hiphop and r&b,,11,0,Unengaged
mikewillmadeit,3164,Make WILL made-it,98,hiphop and r&b,,117,0,Unengaged
