handle,total_n,artist,popularity,genre1,genre2,political_n,political_proportion,poliprop_bin
remmyvalenzuela,3239,Remmy Valenzuela,2308,latin,,14,0,Unengaged
andradaymusic,3199,Andra Day,62,hiphop and r&b,,62,0.01,Circumstantially Engaged
sleepytom,3209,Sleepy Tom,134,pop,,54,0.01,Circumstantially Engaged
reykon,3205,Reykon,476,latin,,11,0,Unengaged
augustalsina,3035,August Alsina,144,hiphop and r&b,,71,0.01,Circumstantially Engaged
hunterplake,1023,Hunter Plake,29,rock,,14,0,Unengaged
ricardo_arjona,3167,Ricardo Arjona,1,latin,,16,0,Unengaged
roberto__tapia,3227,Roberto Tapia,759,latin,,13,0,Unengaged
therealsilento,1595,Silento,2144,pop,,30,0.01,Circumstantially Engaged
kidrock,1559,Kid Rock,609,rock,,13,0,Unengaged
emceenicela,3177,Emcee N.I.C.E.,124,christian,,64,0.01,Circumstantially Engaged
dannygokey,3196,Danny Gokey,5236,christian,,65,0.01,Circumstantially Engaged
mattmcandrew,3207,Matt McAndrew,125,rock,,12,0,Unengaged
sauleljaguar,3241,Saul El Jaguar,127,latin,,1,0,Unengaged
sebastianyatra,3221,Sebastian Yatra,934,latin,,17,0,Unengaged
jordansmithlive,2983,Jordan Smith,969,christian,,65,0.01,Circumstantially Engaged
bobpressner,677,Bob Pressner,80,rock,,9,0,Unengaged
tinietempah,3114,Tinie Tempah,169,pop,,69,0.01,Circumstantially Engaged
relientk,3114,Relient K,35,christian,,69,0.01,Circumstantially Engaged
zedd,3189,Zedd,2410,pop,,79,0.01,Circumstantially Engaged
silvestrefdc,3187,Silvestre Dangond,1624,latin,,39,0,Unengaged
cheddadaconnect,3137,Chedda Da Connect,247,hiphop and r&b,,53,0,Unengaged
ciara,3205,Ciara,628,hiphop and r&b,,55,0,Unengaged
davonfleming,1607,Davon Fleming,9,christian,,70,0.01,Circumstantially Engaged
djlukenastyy,3099,DJ Luke Nasty,463,hiphop and r&b,,51,0.01,Circumstantially Engaged
drdre,180,Dr. Dre,17,hiphop and r&b,,3,0.01,Circumstantially Engaged
joshuadavis,3227,Joshua Davis,153,rock,,8,0,Unengaged
soyjuangabriel,777,Juan Gabriel,453,latin,,1,0,Unengaged
dreezydreezy,3166,Dreezy,428,hiphop and r&b,,49,0.01,Circumstantially Engaged
tbambino,3208,"Tito ""El Bambino"" El Parton",615,latin,,16,0,Unengaged
e40,3136,E-40,40,hiphop and r&b,,64,0.01,Circumstantially Engaged
goldlink,496,GoldLink,656,hiphop and r&b,,12,0.01,Circumstantially Engaged
dualipa,3219,Dua Lipa,2944,pop,,107,0.01,Circumstantially Engaged
brettyoungmusic,3148,Brett Young,4568,country,,131,0,Unengaged
alicemerton,635,Alice Merton,1765,rock,,7,0,Unengaged
thalia,3230,Thalia,1120,latin,,4,0,Unengaged
spenshabaker,3163,Spensha Baker,14,country,,142,0.02,Circumstantially Engaged
thelatinboyreal,3178,Tomas The Latin Boy,78,latin,,10,0,Unengaged
raylamontagne,919,Ray LaMontagne,93,rock,,6,0,Unengaged
hunchoxjack,1982,Huncho Jack,135,hiphop and r&b,,34,0,Unengaged
ilovemakonnen,652,I LOVE MAKONNEN,705,hiphop and r&b,pop,10,0.01,Circumstantially Engaged
celestebetton,1150,Celeste Betton,38,christian,,72,0.06,Circumstantially Engaged
nealmccoy,3187,Neal McCoy,2,country,,223,0.01,Circumstantially Engaged
elleyduhe,1013,Elley Duhe,249,pop,,26,0.02,Circumstantially Engaged
tonydizereal,2,Tony Dize,554,latin,,0,0,Unengaged
trapcapos,341,Trap Capos,4,latin,,2,0,Unengaged
msmithbubbles,3209,Mike Smith,311,christian,,72,0.01,Circumstantially Engaged
jessiereyez,3183,Jessie Reyez,20,hiphop and r&b,,52,0.01,Circumstantially Engaged
victormanuelle,3201,Victor Manuelle,938,latin,,40,0,Unengaged
baabamaal,1116,Baaba Maal,180,rock,,5,0,Unengaged
virlangarcianet,491,Virlan Garcia,7,latin,,0,0,Unengaged
johnmayer,2698,John Mayer,2440,rock,,5,0,Unengaged
willy_william,627,Willy William,2628,latin,,6,0.01,Unengaged
kidcudi,3094,Kid Cudi,4,hiphop and r&b,,48,0,Unengaged
kodakblack1k,3178,Kodak Black,2549,hiphop and r&b,,49,0,Unengaged
lildickytweets,3155,Lil Dicky,1059,hiphop and r&b,,62,0.01,Circumstantially Engaged
lilmosey,127,Lil Mosey,29,hiphop and r&b,,2,0.01,Circumstantially Engaged
wisinoficial,3219,Wisin,6604,latin,,3,0,Unengaged
fergie,3202,Fergie,67,pop,,86,0.02,Circumstantially Engaged
shekukm,3055,Sheku Kanneh-Mason,27,christian,,85,0.04,Circumstantially Engaged
hozier,12898,Hosier,5,country,,224,0.01,Circumstantially Engaged
iamcardib,3067,Cardi B,9511,pop,,82,0.02,Circumstantially Engaged
wolfine98,3031,Wolfine,495,latin,,12,0,Unengaged
ladygaga,3159,Lady Gaga,854,pop,,107,0.02,Circumstantially Engaged
macklemore,3175,Macklemore [and Ryan Lewis],1008,pop,hiphop and r&b,89,0.02,Circumstantially Engaged
meekmill,8332,Darius Rucker,2356,country,,350,0.02,Circumstantially Engaged
lilxanfuhyobih,2886,Lil Xan,324,hiphop and r&b,,50,0,Unengaged
xcheyoc,1849,Cheyo Carrillo,138,latin,,2,0,Unengaged
thetimmcgraw,990,Tim McGraw,687,country,,20,0.01,Circumstantially Engaged
madeintyo,3157,MadeinTYO,582,hiphop and r&b,,52,0.01,Circumstantially Engaged
lewiscapaldi,3218,Lewis Capaldi,4,rock,,5,0,Unengaged
mariahcarey,3194,Mariah Carey,39,hiphop and r&b,,57,0.01,Circumstantially Engaged
thetimmcgraw,990,Tim McGraw,4228,country,,20,0.01,Circumstantially Engaged
yiyosarante,3203,Yiyo Sarante,1,latin,,14,0,Unengaged
israelhoughton,3220,Israel Houghton,71,christian,,86,0.02,Circumstantially Engaged
official_flo,3208,Flo Rida,2740,pop,,88,0.02,Circumstantially Engaged
maryjblige,3122,Mary J. Blige,4,hiphop and r&b,,55,0.01,Circumstantially Engaged
rynweaver,3206,Ryn Weaver,118,pop,,108,0.02,Circumstantially Engaged
missyelliott,3189,Missy Elliott,543,hiphop and r&b,,79,0.01,Circumstantially Engaged
nas,3130,Nas,2,hiphop and r&b,,60,0.01,Circumstantially Engaged
shawnmendes,3189,Shawn Mendes,3514,pop,,92,0.02,Circumstantially Engaged
xtina,1440,Christina Aguilera,23,country,,25,0.01,Circumstantially Engaged
sia,3197,Sia,1739,pop,,98,0.02,Circumstantially Engaged
tylerrichmusic,3200,Tyler Rich,86,country,,49,0.01,Circumstantially Engaged
iamaaroncolee,3183,Aaron Cole,398,christian,,88,0.02,Circumstantially Engaged
yochuylizarraga,3102,Chuy Lizarraga,450,latin,,14,0,Unengaged
jefflynneselo,639,Jeff Lynne,69,rock,,4,0,Unengaged
nataliajimenez,3166,Natalia Jimenez,349,hiphop and r&b,,49,0.01,Circumstantially Engaged
zdevin,3213,Devin Dawson,1016,country,,50,0.02,Circumstantially Engaged
matthammitt,3215,Matt Hammitt,41,christian,,90,0.03,Circumstantially Engaged
yosoyalexrose,958,Alex Rose,19,latin,,1,0,Unengaged
thegreatkhalid,3136,Khalid,4642,pop,hiphop and r&b,95,0.02,Circumstantially Engaged
walkermcguire,3194,Walker McGuire,1,country,,53,0.01,Circumstantially Engaged
yunelcruz,3172,Yunel Cruz,7,latin,,19,0,Unengaged
zachbrown_55,3208,Zac Brown,22,country,,53,0.01,Circumstantially Engaged
djsnake,3131,DJ Snake,2203,pop,,44,0.02,Circumstantially Engaged
drake,1706,Drake,24152,pop,,22,0.02,Circumstantially Engaged
neyocompound,3206,Ne-Yo,1462,hiphop and r&b,pop,69,0.01,Circumstantially Engaged
brananmurphy,3212,Branan Murphy,71,christian,,91,0.02,Circumstantially Engaged
kb_hga,3234,KB,466,christian,,92,0.03,Circumstantially Engaged
symlmusic,677,SYML,329,rock,,4,0,Unengaged
officialjaden,3178,Jaden Smith,9,hiphop and r&b,,66,0.01,Circumstantially Engaged
heyamine,1273,Amine,1121,pop,hiphop and r&b,13,0.02,Circumstantially Engaged
yuritaflowers,3184,Yuridia,99,latin,,6,0,Unengaged
banks,3216,Banks,104,rock,,3,0,Unengaged
davidbowiereal,1821,David Bowie,1001,rock,,2,0,Unengaged
jimcroce,3248,Jim Croce,31,rock,,2,0,Unengaged
kayastewart,1296,Kaya Stewart,193,pop,,9,0.02,Circumstantially Engaged
noah_mac,250,Noah Mac,99,rock,,2,0,Unengaged
labrinth,3213,Labrinth,133,pop,,30,0.02,Circumstantially Engaged
ogmaco,3191,OG Maco,54,hiphop and r&b,,54,0.01,Circumstantially Engaged
otgenasis,3136,O.T. Genasis,1353,hiphop and r&b,,60,0.01,Circumstantially Engaged
remixgodsuede,3148,DJ Suede The Remix God,52,hiphop and r&b,,77,0.01,Circumstantially Engaged
starleymusic,1487,Starley,346,pop,,10,0.03,Circumstantially Engaged
